,fraction,acc_test,acc_train_corrupted,acc_train_uncorrupted
0,0.0,0.9877,1.0,0.9905
1,10.0,0.9425,1.0,0.90164
2,20.0,0.8919,1.0,0.81182
3,30.0,0.8139,1.0,0.7265
4,40.0,0.7367,1.0,0.63578
5,50.0,0.6355,1.0,0.54502
6,60.0,0.5361,1.0,0.45738
7,70.0,0.4302,1.0,0.367
8,80.0,0.3218,1.0,0.28102
9,90.0,0.2005,1.0,0.19038
10,100.0,0.1037,1.0,0.09972
