,fraction,acc_test,acc_train_corrupted,acc_train_uncorrupted
0,0.0,0.9897,0.9892,0.99744
1,10.0,0.9883,0.89836,0.99362
2,20.0,0.9867,0.80858,0.99098
3,30.0,0.9827,0.71578,0.98656
4,40.0,0.9826,0.63324,0.98672
5,50.0,0.9788,0.54586,0.9795
6,60.0,0.9711,0.45762,0.97146
7,70.0,0.9434,0.3697,0.93948
8,80.0,0.912,0.2952,0.90728
9,90.0,0.7364,0.22544,0.72704
10,100.0,0.1182,0.10164,0.11786
